ID,性别,专业,学历,毕业去向,就业行业,岗位类型,工作城市,城市等级,期望薪资,实际薪资,期望薪资达成率,是否有实习经历,专业-行业匹配度,学历-岗位匹配度,满意度评分,岗位ID
1,男,临床医学,硕士,创业,科研,联合创始人,南京,新一线,8500,10400,1.224,是,中,高,5,JOB28196A4075
2,女,金融学,本科,公务员,政府机关,政策研究员,杭州,新一线,8500,9000,1.059,是,低,低,3,JOBF50C331F2A
3,女,土木工程,硕士,出国,科研,海外研究助理,成都,新一线,14000,12700,0.907,是,低,高,3,JOBE5DB21FD57
4,女,计算机,博士,自由职业,文化传媒,独立开发者,北京,一线,7500,9200,1.227,否,低,中,3,JOBCDA4EACD56
5,女,金融学,硕士,出国,金融,海外研究生,杭州,新一线,7500,10300,1.373,是,高,高,5,JOBEA7BEB11DB
6,男,机械工程,本科,考研,科研,硕士研究生,上海,一线,4000,3300,0.825,否,中,中,3,JOBF7CF7F98AC
7,男,市场营销,本科,就业,文化传媒,编辑,北京,一线,6000,7500,1.25,是,中,中,4,JOB58AF93A373
8,女,法学,本科,创业,政府,工作室负责人,南京,新一线,15000,14600,0.973,是,中,中,4,JOB6298F07614
9,女,汉语言文学,硕士,自由职业,互联网,课程创作者,成都,新一线,11500,13000,1.13,否,低,高,3,JOB1DB0B7A9F6
10,女,市场营销,本科,考研,教育,硕士研究生,成都,新一线,12500,6100,0.488,否,低,中,2,JOB6A5BA332C0
11,女,电子信息,博士,自由职业,互联网,自由数据分析师,成都,新一线,7000,11200,1.6,否,高,中,5,JOB48985F2D6C
12,女,市场营销,博士,出国,互联网,海外管培生,上海,一线,6000,8800,1.467,是,高,高,5,JOBA381C60A11
13,男,临床医学,博士,公务员,政府,行政专员,杭州,新一线,15000,16500,1.1,否,低,中,3,JOB139F9AEC12
14,男,汉语言文学,博士,自由职业,教育,课程创作者,武汉,新一线,5500,6400,1.164,是,高,高,5,JOB01F4CFA869
15,女,金融学,硕士,考研,科研,博士后科研助理,上海,一线,12000,9700,0.808,否,低,高,2,JOB3729425ACC
16,男,计算机,本科,创业,互联网,联合创始人,北京,一线,14000,19400,1.386,否,高,中,4,JOB405430CD77
17,男,汉语言文学,本科,出国,教育,海外研究生,北京,一线,13000,10000,0.769,否,高,中,3,JOBDC4D6C0D33
18,女,金融学,硕士,考研,科研,博士后科研助理,深圳,一线,7500,6600,0.88,是,低,高,3,JOBA4ECAA4E99
19,女,市场营销,本科,公务员,政府机关,行政执法辅助岗,西安,新一线,13000,10000,0.769,否,低,中,2,JOB4E218034EE
20,男,机械工程,硕士,创业,互联网,联合创始人,杭州,新一线,12500,16800,1.344,否,低,高,4,JOB5249DA047A
21,女,临床医学,硕士,就业,教育,研究助理,成都,新一线,12500,12900,1.032,否,中,高,4,JOBEFCB638766
22,女,电子信息,硕士,自由职业,文化传媒,自由数据分析师,成都,新一线,6500,5800,0.892,否,低,中,2,JOB42FEC7A4BC
23,男,环境工程,博士,公务员,政府机关,事业单位职员,西安,新一线,7500,7800,1.04,否,低,中,3,JOBE2FE7B2306
24,男,金融学,硕士,自由职业,教育,独立咨询顾问,杭州,新一线,4500,5100,1.133,是,低,中,3,JOB7AE87A61A8
25,女,机械工程,本科,创业,制造业,创业者,西安,新一线,15000,12900,0.86,否,高,中,3,JOB17793889E7
26,女,电子信息,硕士,公务员,政府机关,行政执法辅助岗,青岛,新一线,14000,11500,0.821,否,低,中,3,JOBB25014D14C
27,女,法学,本科,公务员,政府,公共事务助理,上海,一线,15000,16600,1.107,是,中,中,4,JOB6817EDC38C
28,男,计算机,本科,就业,金融,证券研究员,西安,新一线,11000,10600,0.964,否,低,中,3,JOB6735DB3A25
29,男,汉语言文学,硕士,公务员,政府机关,公务员,杭州,新一线,14000,19100,1.364,是,中,中,4,JOB56CDE430EC
30,男,汉语言文学,硕士,公务员,政府机关,选调生,广州,一线,7000,8900,1.271,是,中,中,4,JOB5047EBDBFA
31,女,土木工程,博士,就业,建筑,施工管理工程师,青岛,新一线,6500,9800,1.508,是,高,中,5,JOB24D081EA79
32,男,电子信息,本科,就业,金融,投资顾问,武汉,新一线,11000,11300,1.027,否,低,中,3,JOBF998389E1D
33,女,汉语言文学,硕士,出国,科研,海外研究助理,杭州,新一线,7000,5700,0.814,否,低,高,2,JOBD0E37C9313
34,女,金融学,本科,公务员,政府机关,政策研究员,杭州,新一线,6000,6000,1,是,低,低,3,JOBF50C331F2A
35,女,土木工程,博士,创业,建筑,工作室负责人,上海,一线,10000,17500,1.75,否,高,中,4,JOB69932AD237
36,男,汉语言文学,博士,创业,文化传媒,创业者,青岛,新一线,8500,8300,0.976,是,中,中,3,JOB9A6B2A05F4
37,男,电子信息,硕士,就业,科研,科研助理,北京,一线,11000,15000,1.364,否,中,高,4,JOB0F2282C7D5
38,女,汉语言文学,本科,出国,科研,海外项目助理,杭州,新一线,11500,9400,0.817,是,低,中,2,JOB3EC378D3A9
39,女,机械工程,本科,考研,教育,硕士研究生,广州,一线,7500,4300,0.573,是,低,中,1,JOB80DFE0EBE6
40,男,机械工程,本科,考研,科研,硕士研究生,杭州,新一线,6000,4800,0.8,是,中,中,3,JOB006D73D7BD
41,男,环境工程,硕士,创业,互联网,产品创业者,杭州,新一线,15000,19700,1.313,否,低,高,3,JOB5657B20179
42,男,土木工程,硕士,公务员,政府机关,政策研究员,南京,新一线,14000,13600,0.971,否,低,中,2,JOBAD240C4197
43,男,计算机,硕士,考研,教育,博士研究生,武汉,新一线,7500,4000,0.533,否,低,高,2,JOB13D2C5B41A
44,男,法学,本科,自由职业,政府机关,内容创作者,杭州,新一线,9500,9700,1.021,否,高,中,4,JOBAF877EFC31
45,女,计算机,本科,公务员,政府机关,事业单位职员,上海,一线,9000,9200,1.022,是,低,中,3,JOB796325D870
46,女,计算机,本科,就业,互联网,前端开发工程师,武汉,新一线,7500,9100,1.213,否,高,中,5,JOB1A9008C7B2
47,男,法学,本科,出国,教育,海外研究生,北京,一线,11500,8000,0.696,是,低,中,2,JOBDC4D6C0D33
48,女,汉语言文学,硕士,就业,文化传媒,编辑,成都,新一线,10000,10500,1.05,否,中,中,3,JOBBC04815899
49,女,法学,硕士,就业,政府机关,公务员,深圳,一线,11500,16700,1.452,否,高,中,4,JOB2208316883
50,男,电子信息,博士,自由职业,互联网,独立开发者,杭州,新一线,8500,15700,1.847,是,高,中,5,JOBBBBF432D4D
51,男,金融学,博士,就业,金融,投资顾问,北京,一线,12500,22700,1.816,否,高,中,4,JOBD0CCE4738D
52,男,金融学,本科,出国,金融,海外研究生,广州,一线,9500,10600,1.116,是,高,中,5,JOBF122B430E1
53,女,汉语言文学,硕士,考研,科研,博士后科研助理,广州,一线,8500,6900,0.812,是,低,高,3,JOB05DB2EE3D2
54,女,法学,硕士,创业,互联网,项目负责人,深圳,一线,8000,12100,1.512,是,低,高,4,JOBC4CC01A9FB
55,男,临床医学,博士,自由职业,文化传媒,自由职业者,青岛,新一线,9000,9100,1.011,是,低,中,3,JOB37C4EC4860
56,女,金融学,博士,公务员,政府机关,公共事务助理,杭州,新一线,5500,7200,1.309,否,低,中,3,JOBCBFE85EB6E
57,男,机械工程,博士,公务员,政府机关,政策研究员,南京,新一线,14000,18400,1.314,是,低,高,4,JOBAD240C4197
58,男,机械工程,硕士,公务员,政府机关,行政专员,杭州,新一线,14000,15100,1.079,否,低,中,2,JOB7AC74134C0
59,女,电子信息,本科,自由职业,互联网,自由产品顾问,成都,新一线,12500,16600,1.328,是,高,中,5,JOB6655D4997E
60,男,法学,硕士,考研,教育,博士后科研助理,深圳,一线,7500,5700,0.76,是,低,高,2,JOB465F7093E1
